date,pagePath,eventName,eventCount
20250308,/,scroll,3
20250308,/reposession-services/,page_view,3
20250308,/reposession-services/,user_engagement,3
20250310,/accounting-and-finance/,user_engagement,3
20250310,/contact/,scroll,3
20250310,/customer-support/,user_engagement,3
20250310,/get-paid-faster-with-automated-invoicing/,session_start,3
20250310,/transcription/,page_view,3
20250311,/simple-accurate-proof-of-delivery/,page_view,3
20250311,/simple-accurate-proof-of-delivery/,user_engagement,3
20250315,/,session_start,3
20250319,/blog/,user_engagement,3
20250319,/simple-accurate-proof-of-delivery/,page_view,3
20250215,/,page_view,2
20250215,/,user_engagement,2
20250216,/404/,click,2
20250216,/404/,session_start,2
20250217,/,first_visit,2
20250217,/,page_view,2
20250217,/,session_start,2
20250217,/,user_engagement,2
20250218,/,first_visit,2
20250218,/,page_view,2
20250218,/,session_start,2
20250218,/customer-support/,page_view,2
20250218,/customer-support/,user_engagement,2
20250218,/reposession-services/,page_view,2
20250218,/reposession-services/,user_engagement,2
20250220,/accounting-and-finance/,user_engagement,2
20250221,/,page_view,2
20250221,/,session_start,2
20250221,/about/,page_view,2
20250221,/about/,scroll,2
20250221,/about/,user_engagement,2
20250221,/pricing/,scroll,2
20250222,/about/,page_view,2
20250222,/about/,user_engagement,2
20250224,/,page_view,2
20250224,/,user_engagement,2
20250224,/blog/,page_view,2
20250224,/transcription/,page_view,2
20250225,/,scroll,2
20250225,/404/,page_view,2
20250225,/404/,user_engagement,2
20250226,/,page_view,2
20250303,/,session_start,2
20250303,/the-importance-of-manual-data-entry-services-in-the-digital-age/,scroll,2
20250303,/the-importance-of-manual-data-entry-services-in-the-digital-age/,user_engagement,2
20250304,/,first_visit,2
20250304,/,page_view,2
20250304,/,session_start,2
20250305,/,first_visit,2
20250305,/,user_engagement,2
20250306,/,session_start,2
20250306,/,user_engagement,2
20250306,/blog/,page_view,2
20250306,/blog/,user_engagement,2
20250306,/business-process-automation-trends-and-insights-for-2024/,page_view,2
20250306,/business-process-automation-trends-and-insights-for-2024/,user_engagement,2
20250306,/get-paid-faster-with-automated-invoicing/,user_engagement,2
20250306,/how-cfos-leverage-back-office-support-to-reduce-costs-and-optimize-operations/,page_view,2
20250306,/how-cfos-leverage-back-office-support-to-reduce-costs-and-optimize-operations/,user_engagement,2
20250306,/simple-accurate-proof-of-delivery/,user_engagement,2
20250306,/simplify-load-management-with-automation-for-faster-freight-dispatch/,page_view,2
20250306,/simplify-load-management-with-automation-for-faster-freight-dispatch/,user_engagement,2
20250308,/blog/,page_view,2
20250308,/blog/,user_engagement,2
20250310,/,session_start,2
20250310,/reposession-services/,page_view,2
20250310,/reposession-services/,user_engagement,2
20250310,/transcription/,user_engagement,2
20250311,/,first_visit,2
20250311,/,session_start,2
20250311,/get-paid-faster-with-automated-invoicing/,page_view,2
20250312,/simple-accurate-proof-of-delivery/,page_view,2
20250312,/simple-accurate-proof-of-delivery/,user_engagement,2
20250315,/,first_visit,2
20250318,/,first_visit,2
20250318,/,page_view,2
20250318,/,session_start,2
20250319,/get-paid-faster-with-automated-invoicing/,page_view,2
20250319,/get-paid-faster-with-automated-invoicing/,user_engagement,2
20250319,/simple-accurate-proof-of-delivery/,user_engagement,2
20250215,/,click,1
20250215,/,first_visit,1
20250215,/,session_start,1
20250215,/404/,page_view,1
20250216,/404/,first_visit,1
20250216,/404/,page_view,1
20250218,/,scroll,1
20250218,/,user_engagement,1
20250218,/about/,page_view,1
20250218,/about/,scroll,1
20250218,/about/,user_engagement,1
20250218,/accounting-and-finance/,page_view,1
20250218,/accounting-and-finance/,user_engagement,1
20250218,/contact/,page_view,1
20250218,/contact/,user_engagement,1
20250218,/crm-support/,page_view,1
20250218,/crm-support/,user_engagement,1
20250218,/manual-data-entry/,page_view,1
20250218,/manual-data-entry/,user_engagement,1
20250219,/,first_visit,1
20250219,/,page_view,1
20250219,/,session_start,1
20250219,/,user_engagement,1
20250220,/about/,page_view,1
20250220,/about/,user_engagement,1
20250220,/blog/,page_view,1
20250220,/crm-support/,page_view,1
20250220,/crm-support/,user_engagement,1
20250220,/manual-data-entry/,page_view,1
20250220,/manual-data-entry/,user_engagement,1
20250220,/reposession-services/,page_view,1
20250220,/reposession-services/,user_engagement,1
20250220,/services/,page_view,1
20250220,/services/,user_engagement,1
20250221,/,first_visit,1
20250221,/,user_engagement,1
20250221,/blog/,session_start,1
20250221,/blog/,user_engagement,1
20250221,/contact/,page_view,1
20250221,/contact/,scroll,1
20250221,/contact/,user_engagement,1
20250221,/crm-support/,first_visit,1
20250221,/crm-support/,page_view,1
20250221,/crm-support/,scroll,1
20250221,/crm-support/,session_start,1
20250221,/crm-support/,user_engagement,1
20250221,/portfolio/basket-of-flower-on-table/,page_view,1
20250221,/portfolio/basket-of-flower-on-table/,scroll,1
20250221,/portfolio/basket-of-flower-on-table/,user_engagement,1
20250221,/services/,page_view,1
20250222,/reposession-services/,page_view,1
20250222,/reposession-services/,scroll,1
20250222,/reposession-services/,user_engagement,1
20250222,/services/,page_view,1
20250222,/services/,scroll,1
20250224,/,session_start,1
20250224,/about/,page_view,1
20250224,/accounting-and-finance/,page_view,1
20250224,/accounting-and-finance/,user_engagement,1
20250224,/blog/,user_engagement,1
20250224,/contact/,page_view,1
20250224,/contact/,scroll,1
20250224,/contact/,user_engagement,1
20250224,/manual-data-entry/,page_view,1
20250224,/reposession-services/,page_view,1
20250224,/transcription/,scroll,1
20250224,/transcription/,user_engagement,1
20250225,/,first_visit,1
20250225,/,session_start,1
20250225,/,user_engagement,1
20250225,/404/,session_start,1
20250225,/wo-admin,page_view,1
20250225,/wo-admin,user_engagement,1
20250225,/wop-admin,page_view,1
20250225,/wop-admin,user_engagement,1
20250226,/,first_visit,1
20250226,/,scroll,1
20250226,/,session_start,1
20250226,/,user_engagement,1
20250226,/contact/,page_view,1
20250226,/contact/,scroll,1
20250227,/about/,page_view,1
20250227,/about/,user_engagement,1
20250227,/contact/,click,1
20250227,/contact/,user_engagement,1
20250228,/,scroll,1
20250228,/contact/,user_engagement,1
20250301,/,user_engagement,1
20250303,/,click,1
20250303,/,first_visit,1
20250303,/,scroll,1
20250303,/blog/,scroll,1
20250303,/blog/,session_start,1
20250303,/get-paid-faster-with-automated-invoicing/,page_view,1
20250303,/get-paid-faster-with-automated-invoicing/,user_engagement,1
20250303,/the-importance-of-manual-data-entry-services-in-the-digital-age/,first_visit,1
20250304,/,user_engagement,1
20250306,/reposession-services/,page_view,1
20250306,/reposession-services/,user_engagement,1
20250308,/about/,page_view,1
20250308,/about/,scroll,1
20250308,/about/,user_engagement,1
20250308,/data-entry-companies-in-the-usa-the-ultimate-guide/,page_view,1
20250308,/data-entry-companies-in-the-usa-the-ultimate-guide/,user_engagement,1
20250308,/services/,page_view,1
20250308,/services/,scroll,1
20250308,/services/,user_engagement,1
20250308,/the-importance-of-manual-data-entry-services-in-the-digital-age/,page_view,1
20250308,/the-importance-of-manual-data-entry-services-in-the-digital-age/,user_engagement,1
20250310,/accounting-and-finance/,first_visit,1
20250310,/accounting-and-finance/,session_start,1
20250310,/get-paid-faster-with-automated-invoicing/,first_visit,1
20250310,/simple-accurate-proof-of-delivery/,scroll,1
20250311,/,scroll,1
20250311,/blog/,session_start,1
20250311,/get-paid-faster-with-automated-invoicing/,session_start,1
20250311,/get-paid-faster-with-automated-invoicing/,user_engagement,1
20250312,/blog/,page_view,1
20250312,/blog/,user_engagement,1
20250313,/,page_view,1
20250313,/,session_start,1
20250313,/,user_engagement,1
20250313,/blog/,page_view,1
20250315,/reposession-services/,page_view,1
20250315,/reposession-services/,user_engagement,1
20250315,/the-legal-aspect-of-repossession-know-your-rights-as-a-borrower-and-lender/,page_view,1
20250315,/the-legal-aspect-of-repossession-know-your-rights-as-a-borrower-and-lender/,user_engagement,1
20250317,/,page_view,1
20250317,/,scroll,1
20250317,/,user_engagement,1
20250317,/get-paid-faster-with-automated-invoicing/,page_view,1
20250317,/get-paid-faster-with-automated-invoicing/,session_start,1
20250317,/get-paid-faster-with-automated-invoicing/,user_engagement,1
20250319,/,first_visit,1
20250319,/,page_view,1
20250319,/,session_start,1
20250319,/,user_engagement,1
